department,sample_type,panel,test,code,unit,result_type,normal_range
Haematology,Blood (EDTA),Anaemia Panel,Absolute Eosinphil Count,AEC,cumm,Numeric,100
Serology,Blood (EDTA),Serology,Anti Streptolysin Qualitative,ASO Qualitative,NA,Drop-down,Positive 1:2;Positive 1:4;Positive 1:8;Positive 1:16;Positive 1:32;Negative
Serology,Blood (EDTA),Serology,Anti Streptolysin Turbidometry,ASO Turbidometry,iU/ml,Numeric,5
Clinical Pathology,Blood (EDTA),Coagulation Factor,APTT (Control) (Blood),PTTC,sec,Numeric,38
Clinical Pathology,Blood (EDTA),Coagulation Factor,APTT (Test) (Blood),PTT ,sec,Numeric,38
Haematology,Blood (EDTA),Differential Count,Basophil,,%,Numeric,0
Haematology,Blood (EDTA),Coagulation Factor,Bleeding Time,BT,sec,Numeric,
Haematology,Blood (EDTA),Cross Match,Blood Group (Relative),,,Drop-down,O+;A+;B+;AB+;O-;A-;B-;AB-
Biochemistry,Serum,Biochemistry,CA-125,,u/mm,Numeric,5
Biochemistry,Serum,Biochemistry,CA19-9,,u/ml,Numeric,0
Biochemistry,Serum,Electrolyte,Calcium (mmole/l),,mmole/l,Numeric,1
Biochemistry,Serum,,Calcium(mg/dl),Ca,mg/dl,Numeric,8.4
Urine,Urine,Urine Microscopy,Cast,,/hPF,Remark,
Haematology,Blood (EDTA),,CD4 Test,,,Remark,
Biochemistry,Serum,Lipid Profile,Cholesterol,,mg/dl,Numeric,150
Haematology,Blood (EDTA),Coagulation Factor,Clotting Time,CT,sec,Numeric,
Urine,Urine,Urine Microscopy,Crystal,,/hPF,Remark,
Microbiology,Body Fluid,CSF,Culture (CSF),,,Remark,
Microbiology,Body Fluid,Pyrotinial Fluid,Culture (Pyrotinial Fluid),,,Remark,
Histo Pathology,Body Fluid,Asitic Fluid,Cytology (Asitic Fluid),,,Remark,
Histo Pathology,Body Fluid,CSF,Cytology (CSF),,,Remark,
Histo Pathology,Body Fluid,Knee Joint Fluid,Cytology (Knee Joint Fluid),,,Remark,
Histo Pathology,Body Fluid,Pyrotinial Fluid,Cytology (Pyrotinial Fluid),,,Remark,
Haematology,Body Fluid,Asitic Fluid,Differential Count (Asitic Fluid),DC,,Remark,
Haematology,Body Fluid,Pus,Differential Count (Pus),DC,,Remark,
Urine,Urine,Urine Microscopy,Epithelial Cells,,/hPF,Remark,
Stool,Stool,Stool Microscopy w/o Concetration,Fat Droplets (w/o concentration),,NA,Remark,
Stool,Stool,Stool Microscopy with Concetration,Fat Droplets (with concentration),,NA,Remark,
Clinical Pathology,Body Fluid,Asitic Fluid,Gram Stain (Asitic Fluid),,,Remark,
Clinical Pathology,Body Fluid,,Gram Stain (Body Fluid),,NA,Remark,
Haematology,Blood (EDTA),,Haemoglobin,HB,gm/dl,Numeric,12
Haematology,Blood (EDTA),Cross Match,Haemoglobin (Relative),HB,gm/dl,Numeric,11.5
Haematology,Blood (EDTA),Anaemia Panel,Hb Electrophoresis,,NA,Drop-down,AA;AS;SS
Haematology,Blood (EDTA),,Hb Electrophoresis,,NA,Drop-down,AA;AS;SS
Biochemistry,Blood (EDTA),,Hb1AC,,%,Numeric,7
Serology,Blood (EDTA),Serology,HbsAg ELISA,,NA,Drop-down,Positive;Negative
Serology,Blood (EDTA),Serology,HbsAg Rapid,,NA,Drop-down,Positive;Negative
Urine,Urine,Urine LE/Nitrite,LE (Urine),,NA,Remark,
Clinical Pathology,Semen,Semen Analysis,Liquification time,,min,Numeric,20
Serology,Blood (EDTA),Cross Match,Malaria Parasite,,NA,Drop-down,Positive;Negative
Haematology,Blood (EDTA),Anaemia Panel,MCH,,per fL,Numeric,28
Haematology,Blood (EDTA),Anaemia Panel,MCHC,,g/dl,Numeric,34
Haematology,Blood (EDTA),Anaemia Panel,MCV,,per fL,Numeric,75
Vaginal,Vaginal,Vaginal Panel,Microscopy of KOH mount,,NA,Drop-down,Present;Absent
Vaginal,Vaginal,Vaginal Panel,Microscopy of Saline mount,,NA,Remark,
Clinical Pathology,Semen,Semen Analysis,Morphology,,,Drop-down,Normal;Abnornal
Clinical Pathology,Semen,Semen Analysis,Motility,,,Remark,
Urine,Urine,Urine LE/Nitrite,Nitrite,,NA,Remark,
Urine,Urine,Urine Microscopy,Others (Urine),,/hPF,Remark,
Haematology,Blood (EDTA),Anaemia Panel,Packed Cell Volume (PCV),PCV %,%,Numeric,45
Biochemistry,Urine,Glucose Tolerance Test (GTT),Parallel Urine Sugar (30 mins),,,Drop-down,Nil;Trace;1+;2+;3+;4+
Clinical Pathology,Semen,Semen Analysis,Parasite,,per hpf,Drop-down,Present;Absent
Haematology,Blood (EDTA),Cross Match,Patient Blood Group,,,Drop-down,O+;A+;B+;AB+;O-;A-;B-;AB-
Vaginal,Vaginal,Vaginal Panel,pH (Vaginal),,NA,Numeric,1
Haematology,Blood (EDTA),Anaemia Panel,Platelet Count,PLT,cumm,Numeric,100000
Biochemistry,Serum,Biochemistry,PSA,PSA,ng/ml,Numeric,0.1
Clinical Pathology,Semen,Semen Analysis,Pus Cells (Semen),,/hpf,Numeric,
Stool,Stool,Stool Microscopy with Concetration,Quality,,NA,Remark,
Clinical Pathology,Semen,Semen Analysis,RBC (Semen),,per hpf,Numeric,
Stool,Stool,Stool Microscopy w/o Concetration,RBC (Stool),,NA,Remark,
Biochemistry,Serum,Biochemistry,RBS,,mg/dl,Numeric,60
Haematology,Blood (EDTA),Routine Blood,Reticulocyte Count,RETIC,%,Numeric,1.5
Serology,Blood (EDTA),Serology,Rheumatoid Arthritis - Qualitative,RA Qualitative,NA,Drop-down,Positive 1:2;Positive 1:4;Positive 1:8;Positive 1:16;Positive 1:32;Negative
Biochemistry,Serum,Liver Function Test,S. Albumin,,gm/dl,Numeric,2.4
Biochemistry,Serum,Liver Function Test,S. ALT ,,mg/dl,Numeric,5
Haematology,Body Fluid,Pus,Total Leucocyte Count (Pus),TC,cumm,Numeric,
Haematology,Body Fluid,Pyrotinial Fluid,Total Leucocyte Count (Pyrotinial Fluid),TC,cumm,Numeric,
Biochemistry,Urine,Urine Protein Creatinine Ratio,Urine Protein,,mg/dl,Numeric,20
Biochemistry,Urine,Urine Protein Creatinine Ratio,Urine Protein Creatinine Ratio,UPCR,,Numeric,0.2
Urine,Urine,Urine Microscopy,Vaginal Trichomonas,,/hPF,Remark,
Urine,Urine,Urine Microscopy,Yeast Cell,,/hPF,Remark,
Clinical Pathology,Body Fluid,Asitic Fluid,ZN Stain (Asitic Fluid),,,Drop-down,Positive 1+;Positive 2+;Positive 3+;Positive 4+;Positive 5+;Positive 6+;Negative
Clinical Pathology,Body Fluid,,ZN Stain (Body Fluid),,NA,Drop-down,Positive 1+;Positive 2+;Positive 3+;Positive 4+;Positive 5+;Positive 6+;Negative
